iter,buffer,beta,ei_hi,ei_lo,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,roll_min_pos,roll_close,roll_skip,roll_miss,roll_timeout,roll_fail,exp_kept,exp_succ,eval_min_pos,eval_min_rot,eval_close,eval_miss,eval_timeout,eval_fail,q_pi,a_absmean,grip_logit,buf_pos,eval_succ,best_succ
35,14831,0.2222,24,17,0.0,30.0,0.0,0.007117175031453371,0.21013787388801575,0.19669921696186066,0.3825450837612152,-0.09959518909454346,0.028634250164031982,0.420389860868454,0.0015602902276441455,0.00896385032683611,0.7274996638298035,64,0.0227,0.0,2,0,5,1,8,0.875,0.1667,0.7074,0.0,0,48,0,0.1369006633758545,0.5913515090942383,2.094228506088257,0.01537,0.0,0.0417
36,15289,0.2143,24,17,0.0,30.0,0.0,0.0027886182069778442,0.23141621053218842,0.2390880584716797,0.44868388772010803,-0.09794829040765762,0.01645059883594513,0.509283721446991,0.001195975230075419,0.008894491009414196,0.6607125401496887,64,0.021,0.0,1,0,6,0,9,0.889,,,,,,,0.14824645221233368,0.671872615814209,1.9462839365005493,0.01544,,0.0417
37,15743,0.2063,24,17,0.1,30.0,0.1,0.005893140099942684,0.20207040011882782,0.2274775505065918,0.2995462417602539,-0.09710906445980072,0.018746068701148033,0.3530248999595642,0.0019923564977943897,0.01227651908993721,0.8931798934936523,64,0.0257,0.1,1,0,9,0,5,0.6,,,,,,,0.10872285068035126,0.5987840890884399,2.145566463470459,0.01524,,0.0417
38,16164,0.1984,24,17,0.0,30.0,0.0,0.002749397186562419,0.2090947926044464,0.2086942046880722,0.41257157921791077,-0.09327705204486847,0.031988706439733505,0.4355184733867645,0.0018601171905174851,0.012705494649708271,0.9412958025932312,64,0.0224,0.0,2,0,6,0,8,0.75,,,,,,,0.09909430146217346,0.6563050746917725,2.019746780395508,0.01522,,0.0417
39,16621,0.1905,24,17,0.0,30.0,0.0,0.0043932367116212845,0.20534083247184753,0.19047480821609497,0.5723314881324768,-0.09783343970775604,0.0511072501540184,0.5642760396003723,0.0012813160428777337,0.007348722778260708,1.0350309610366821,64,0.0186,0.0,1,0,7,0,8,0.875,,,,,,,0.09452223777770996,0.6504145860671997,2.1235384941101074,0.01522,,0.0417
40,17041,0.1825,24,17,0.125,29.88,0.125,0.0027498146519064903,0.21038642525672913,0.20333650708198547,0.3604685962200165,-0.09490713477134705,0.0228920578956604,0.40487784147262573,0.001180425751954317,0.009427524171769619,0.9914981722831726,64,0.0268,0.125,2,0,6,1,6,0.833,,,,,,,0.09572093188762665,0.5470566153526306,2.108633041381836,0.0152,,0.0417
41,17438,0.1746,24,17,0.1667,30.0,0.1667,0.0033282004296779633,0.19812045991420746,0.18832486867904663,0.34064143896102905,-0.0947798565030098,0.019122622907161713,0.3928864598274231,0.0022037611342966557,0.008579201065003872,1.0403939485549927,64,0.0174,0.167,3,0,5,0,7,1.0,,,,,,,0.09109996259212494,0.6753973364830017,2.110050678253174,0.01531,,0.0417
42,17833,0.1667,24,16,0.0,30.0,0.0,0.004350380972027779,0.21028640866279602,0.2296268343925476,0.39729630947113037,-0.08536092936992645,0.02817855402827263,0.4199575185775757,0.0012968373484909534,0.01268523745238781,0.9424919486045837,64,0.0411,0.0,3,0,7,1,5,1.0,0.1245,0.5708,0.042,2,43,3,0.0905693992972374,0.5954084396362305,2.02166485786438,0.01525,0.0,0.0417
43,18199,0.1587,24,16,0.0,30.0,0.0,0.003615589579567313,0.21801160275936127,0.22013413906097412,0.37252306938171387,-0.0906783789396286,0.04200218245387077,0.37441277503967285,0.0017920207465067506,0.00956860464066267,0.8865445256233215,64,0.0181,0.0,4,0,6,0,6,1.0,,,,,,,0.10228292644023895,0.6590635180473328,2.122178554534912,0.01528,,0.0417
44,18620,0.1508,24,16,0.0,29.92,0.0,0.0024242301005870104,0.22633422911167145,0.22885805368423462,0.5579257011413574,-0.09686623513698578,0.07357104867696762,0.5030755400657654,0.0011597719276323915,0.009148627519607544,1.1668586730957031,64,0.0265,0.083,2,1,10,1,2,1.0,,,,,,,0.08301454037427902,0.6378642916679382,1.9577312469482422,0.01504,,0.0417
45,19108,0.1429,24,16,0.0,30.0,0.0,0.005475067533552647,0.19614803791046143,0.20233699679374695,0.3138076663017273,-0.09699680656194687,0.037397146224975586,0.32994943857192993,0.0018919226713478565,0.01212152000516653,0.8015238046646118,64,0.0265,0.0,0,0,7,1,8,0.875,,,,,,,0.1210155040025711,0.599112868309021,2.1265082359313965,0.01502,,0.0417
46,19589,0.1349,24,16,0.0,29.75,0.0,0.0025465129874646664,0.2358151227235794,0.2347530871629715,0.2642134428024292,-0.09762495756149292,0.015191307291388512,0.326505184173584,0.001256645773537457,0.009901185519993305,1.1675245761871338,64,0.0332,0.0,0,0,11,1,4,1.0,,,,,,,0.08361704647541046,0.6324490308761597,2.205986976623535,0.01486,,0.0417
47,20000,0.127,24,16,0.0,30.0,0.0,0.002684175968170166,0.19871526956558228,0.1996743083000183,0.30889835953712463,-0.09648273885250092,0.013957682065665722,0.37461552023887634,0.0028096502646803856,0.005700430367141962,1.0731648206710815,64,0.0443,0.0,2,0,9,0,5,1.0,,,,,,,0.08990486711263657,0.5810548663139343,2.1027517318725586,0.0148,,0.0417
